,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
48,E:\result\0664_seg.v3dpbd\gold\32_32_62_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
49,E:\result\0664_seg.v3dpbd\gold\32_32_80_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
50,E:\result\0664_seg.v3dpbd\gold\32_32_88_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
51,E:\result\0664_seg.v3dpbd\gold\345_408_202_gold.tiff,-1,-1,-1,0.34031810148952285,0.5345238095238095,0.21690038244399928,-1,0.0,0.0,-1,0.1858996051889453,0.16282183316168897,0.17433997220935618,0.16030259365994237,0.5345238095238095
52,E:\result\0664_seg.v3dpbd\gold\347_280_203_gold.tiff,-1,-1,-1,0.33768494342906874,0.5443037974683544,0.12064539787312065,-1,0.0,0.0,-1,0.25983796296296297,0.2550047664442326,0.2594594594594595,0.1978021978021978,0.5443037974683544
53,E:\result\0664_seg.v3dpbd\gold\347_284_194_gold.tiff,-1,-1,-1,0.2839838492597577,0.5602280826799715,0.12084993359893759,-1,0.0,0.0,-1,0.23671846765449947,0.22265625,0.23970141000829417,0.17155995755217546,0.5602280826799715
54,E:\result\0664_seg.v3dpbd\gold\364_349_100_gold.tiff,-1,-1,-1,0.15040183696900114,0.612859097127223,0.12603966730646193,-1,0.0,0.0,-1,0.1770003463803256,0.12014010507880911,0.16901408450704225,0.13756432246998285,0.612859097127223
55,E:\result\0664_seg.v3dpbd\gold\426_298_228_gold.tiff,-1,-1,-1,0.3348729792147806,0.5862324204293117,0.15532574974146846,-1,0.0,0.0,-1,0.23357664233576642,0.21449396084964598,0.2397172236503856,0.18492822966507177,0.5862324204293117
56,E:\result\0664_seg.v3dpbd\gold\426_331_220_gold.tiff,-1,-1,-1,0.3273996509598604,0.5226639655609014,0.14316300314016558,-1,0.0,0.0,-1,0.22368196553489167,0.20456207047814007,0.21400620698961004,0.16612377850162866,0.5226639655609014
57,E:\result\0664_seg.v3dpbd\gold\426_351_166_gold.tiff,-1,-1,-1,0.3793103448275862,0.5532010820559062,0.1739961759082218,-1,0.0,0.0,-1,0.2698268003646308,0.21941026236359415,0.24623680071893955,0.17616457791440057,0.5532010820559062
58,E:\result\0664_seg.v3dpbd\gold\426_368_215_gold.tiff,-1,-1,-1,0.344441617908929,0.5004108463434676,0.1505607794267588,-1,0.0,0.0,-1,0.21397886915128295,0.1796814296814297,0.20845588235294119,0.16485328058028353,0.5004108463434676
59,E:\result\0664_seg.v3dpbd\gold\426_426_259_gold.tiff,-1,-1,-1,0.37468776019983346,0.4063086744273376,0.17116060961313012,-1,0.0,0.0,-1,0.21615023474178405,0.17332293291731668,0.19878238708763982,0.17491926803013993,0.4063086744273376
60,E:\result\0664_seg.v3dpbd\gold\427_426_226_gold.tiff,-1,-1,-1,0.3760539629005059,0.4044986656500191,0.17194142654700048,-1,0.0,0.0,-1,0.21633511859219587,0.17324699936828805,0.19787783194723257,0.1731996353691887,0.4044986656500191
61,E:\result\0664_seg.v3dpbd\gold\554_308_223_gold.tiff,-1,-1,-1,0.3083623693379791,0.7557677008750995,0.16474756421612047,-1,0.0,0.0,-1,0.3079684134960517,0.1820821236001659,0.23069767441860464,0.22664141414141414,0.7557677008750995
62,E:\result\0664_seg.v3dpbd\gold\554_333_220_gold.tiff,-1,-1,-1,0.3083623693379791,0.7557677008750995,0.16474756421612047,-1,0.0,0.0,-1,0.3079684134960517,0.1820821236001659,0.23069767441860464,0.22664141414141414,0.7557677008750995
63,E:\result\0664_seg.v3dpbd\gold\682_310_172_gold.tiff,-1,-1,-1,0.2653910149750416,0.623046875,0.10172603745868528,-1,0.0,0.0,-1,0.31569664902998235,0.25565964090554255,0.20204402515723272,0.189891355692017,0.623046875
64,E:\result\0664_seg.v3dpbd\gold\682_310_221_gold.tiff,-1,-1,-1,0.26949241234955523,0.5500403551251009,0.10642404190791288,-1,0.0,0.0,-1,0.25656772432616853,0.18876788383514842,0.18933912204534492,0.1608066184074457,0.5500403551251009
65,E:\result\0664_seg.v3dpbd\gold\709_182_261_gold.tiff,-1,-1,-1,0.18757327080890973,0.56590084643289,0.29856687898089174,-1,0.0,0.0,-1,0.14540389972144846,0.149324571011318,0.1409501374165685,0.12566735112936345,0.56590084643289
66,E:\result\0664_seg.v3dpbd\gold\737_310_231_gold.tiff,-1,-1,-1,0.26,0.5236994219653179,0.15475113122171946,-1,0.0,0.0,-1,0.2546278806195693,0.24825030876904075,0.22833105067501466,0.2202619620422347,0.5236994219653179
