,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
25,E:\result\0663_seg.v3dpbd\gold\528_518_154_gold.tiff,-1,-1,-1.0,-1,0.2740294006784772,0.16773464003015454,-1.0,0.36977007161703734,-1,0.6200527704485488,0.0,-1.0,-1.0,-1,-1,0.17338861666038446,-1.0,-1.0,0.4003015454202789,-1.0,0.4945344892574444,-1.0,0.16773464003015454,-1.0,0.3742932529212213
26,E:\result\0663_seg.v3dpbd\gold\538_390_125_gold.tiff,-1,-1,-1.0,-1,0.15510874025441115,0.0718096019696348,-1.0,0.23553549446040214,-1,0.54411161263849,0.0,-1.0,-1.0,-1,-1,0.0718096019696348,-1.0,-1.0,0.3807960607304062,-1.0,0.5777595404185474,-1.0,0.0718096019696348,-1.0,0.43044727123512516
27,E:\result\0663_seg.v3dpbd\gold\605_526_127_gold.tiff,-1,-1,-1.0,-1,0.28859357696567,0.13133997785160575,-1.0,0.3601328903654485,-1,0.6053156146179401,0.0,-1.0,-1.0,-1,-1,0.15282392026578073,-1.0,-1.0,0.35658914728682173,-1.0,0.4868217054263566,-1.0,0.13133997785160575,-1.0,0.35968992248062015
28,E:\result\0663_seg.v3dpbd\gold\611_398_128_gold.tiff,-1,-1,-1.0,-1,0.18604651162790697,0.11369509043927649,-1.0,0.2235142118863049,-1,0.5697674418604651,0.0,-1.0,-1.0,-1,-1,0.12144702842377261,-1.0,-1.0,0.44573643410852715,-1.0,0.5878552971576227,-1.0,0.11369509043927649,-1.0,0.45219638242894056
29,E:\result\0663_seg.v3dpbd\gold\643_654_187_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.3712871287128713,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.1485148514851485,-1.0,0.24257425742574257,-1.0,0.0,-1.0,0.039603960396039604
30,E:\result\0663_seg.v3dpbd\gold\656_514_154_gold.tiff,-1,-1,-1.0,-1,0.2668488160291439,0.10898603521554341,-1.0,0.3123861566484517,-1,0.6038251366120219,0.0,-1.0,-1.0,-1,-1,0.13782635094110504,-1.0,-1.0,0.34942319368548874,-1.0,0.4156041287188828,-1.0,0.10898603521554341,-1.0,0.3809957498482089
31,E:\result\0663_seg.v3dpbd\gold\656_526_141_gold.tiff,-1,-1,-1.0,-1,0.2647058823529412,0.12669683257918551,-1.0,0.32931121166415284,-1,0.5744092508798391,0.0,-1.0,-1.0,-1,-1,0.15082956259426847,-1.0,-1.0,0.35193564605329314,-1.0,0.42332830568124685,-1.0,0.12669683257918551,-1.0,0.3637506284565108
32,E:\result\0663_seg.v3dpbd\gold\670_526_186_gold.tiff,-1,-1,-1.0,-1,0.28747002398081534,0.13878896882494005,-1.0,0.3120503597122302,-1,0.6142086330935251,0.0,-1.0,-1.0,-1,-1,0.1642685851318945,-1.0,-1.0,0.3627098321342926,-1.0,0.39448441247002397,-1.0,0.13878896882494005,-1.0,0.37559952038369304
33,E:\result\0663_seg.v3dpbd\gold\784_527_141_gold.tiff,-1,-1,-1.0,-1,0.552901023890785,0.22610921501706485,-1.0,0.18771331058020477,-1,0.6868600682593856,0.0,-1.0,-1.0,-1,-1,0.30887372013651876,-1.0,-1.0,0.3037542662116041,-1.0,0.38139931740614336,-1.0,0.22610921501706485,-1.0,0.537542662116041
34,E:\result\0663_seg.v3dpbd\gold\784_530_118_gold.tiff,-1,-1,-1.0,-1,0.552901023890785,0.22610921501706485,-1.0,0.18771331058020477,-1,0.6868600682593856,0.0,-1.0,-1.0,-1,-1,0.30887372013651876,-1.0,-1.0,0.3037542662116041,-1.0,0.38139931740614336,-1.0,0.22610921501706485,-1.0,0.537542662116041
35,E:\result\0663_seg.v3dpbd\gold\912_525_119_gold.tiff,-1,-1,-1.0,-1,0.4562770562770563,0.22510822510822512,-1.0,0.3800865800865801,-1,0.6346320346320347,0.0,-1.0,-1.0,-1,-1,0.23203463203463204,-1.0,-1.0,0.3463203463203463,-1.0,0.47445887445887447,-1.0,0.22510822510822512,-1.0,0.3939393939393939
36,E:\result\0663_seg.v3dpbd\gold\912_537_107_gold.tiff,-1,-1,-1.0,-1,0.4562770562770563,0.22510822510822512,-1.0,0.3800865800865801,-1,0.6346320346320347,0.0,-1.0,-1.0,-1,-1,0.23203463203463204,-1.0,-1.0,0.3463203463203463,-1.0,0.47445887445887447,-1.0,0.22510822510822512,-1.0,0.3939393939393939
37,E:\result\0664_seg.v3dpbd\gold\170_300_177_gold.tiff,-1,-1,0.36075949367088606,-1,0.060126582278481014,0.40822784810126583,0.3829113924050633,0.2721518987341772,-1,0.0,0.0,0.370253164556962,0.33860759493670883,-1,-1,0.47468354430379744,-1.0,0.31329113924050633,0.33860759493670883,0.33860759493670883,0.33860759493670883,0.2879746835443038,0.40822784810126583,-1.0,0.23417721518987342
38,E:\result\0664_seg.v3dpbd\gold\219_312_175_gold.tiff,-1,-1,0.4268004722550177,-1,0.09710743801652892,0.39935064935064934,0.3822314049586777,0.17886658795749705,-1,0.0,0.0,0.31463990554899646,0.4462809917355372,-1,-1,0.4247343565525384,-1.0,0.30342384887839435,0.3689492325855962,0.3884297520661157,0.4601534828807556,0.345926800472255,0.39935064935064934,-1.0,0.3677685950413223
39,E:\result\0664_seg.v3dpbd\gold\284_221_139_gold.tiff,-1,-1,0.18541033434650456,-1,0.0,0.6322188449848024,0.17933130699088146,0.21580547112462006,-1,0.0,0.0,0.21580547112462006,0.1945288753799392,-1,-1,0.6382978723404256,-1.0,0.0547112462006079,0.1458966565349544,0.1945288753799392,0.26443768996960487,0.2917933130699088,0.6322188449848024,-1.0,0.12462006079027356
40,E:\result\0664_seg.v3dpbd\gold\298_349_165_gold.tiff,-1,-1,0.39485441380372827,-1,0.19781235556924973,0.4638730549992297,0.40779540902788475,0.21460483746726236,-1,0.0,0.0,0.3680480665536897,0.41180095516869514,-1,-1,0.5010013865352025,-1.0,0.37066707749191186,0.39454629486981974,0.387767678323833,0.4982283161300262,0.3495609305191804,0.4638730549992297,-1.0,0.3635803420120166
41,E:\result\0664_seg.v3dpbd\gold\298_408_252_gold.tiff,-1,-1,0.32942653830054414,-1,0.15780661364587695,0.3197990791125994,0.38216827124319797,0.18752616157388027,-1,0.0,0.0,0.2934282126412725,0.2946839681875262,-1,-1,0.36249476768522393,-1.0,0.4114692339891168,0.3306822938467978,0.4022603599832566,0.40267894516534114,0.3620761825031394,0.3197990791125994,-1.0,0.33696107157806615
