name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker_all_59.marker_color.txt     1   0.888889   0.361111   263   11.17    0.166035
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker_all_72.marker_color.txt     1   0.636364   0.428571   97   14.1788    0.202083
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker132.marker_color.txt     1   0.894737   0.108359   77   14.0392    0.0686275
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker178.marker_color.txt     1   0.36   0.0888889   72   9.53763    0.0144058
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker186.marker_color.txt     1   0.36   0.0888889   56   9.45117    0.0163743
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker200.marker_color.txt     1   0.846154   0.118881   34   7.79254    0.118881
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker208.marker_color.txt     1   0.4375   0.0803571   25   6.69129    0.0192308
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker215.marker_color.txt     1   0.156863   0.0894608   83   12.9623    0.043501
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker238.marker_color.txt     1   0.714286   0.135714   54   13.6206    0.0397059
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker262.marker_color.txt     1   0.8125   0.100962   54   14.0547    0.0391304
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker263.marker_color.txt     1   0.857143   0.25   22   9.06924    0.114583
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker271.marker_color.txt     1   0.846154   0.160839   78   11.6649    0.0185714
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker289.marker_color.txt     1   0.538462   0.137363   25   5.31413    0.137363
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker316.marker_color.txt     1   0.5   0.24   45   9.58218    0.0852273
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker332.marker_color.txt     0   0.558824   0.0375387   325   12.4431    0.0135281
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/25/marker_all_70.marker_color.txt     1   0.909091   0.545455   145   0.769883    0.0588474
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/26/marker102.marker_color.txt     1   0.9   0.588889   182   0.902576    0.26
